state,Year,Week,Percent of Deaths Due to Pneumonia and Influenza,All Deaths,Number of Pneumonia and Influenza Deaths
Alabama,2010,40,7.09,959,68
Alabama,2010,41,6.49,909,59
Alabama,2010,42,6.78,870,59
Alabama,2010,43,6.43,856,55
Alabama,2010,44,6.53,857,56
Alabama,2010,45,5.78,934,54
Alabama,2010,46,7.14,896,64
Alabama,2010,47,7.49,881,66
Alabama,2010,48,8.02,910,73
Alabama,2010,49,6.2,984,61
Alabama,2010,50,7.59,1054,80
Alabama,2010,51,7.63,983,75
Alabama,2010,52,8.74,1075,94
Alabama,2011,01,10.26,1072,110
Alabama,2011,02,8.12,1047,85
Alabama,2011,03,7.55,1020,77
Alabama,2011,04,9.75,1036,101
Alabama,2011,05,9.08,991,90
Alabama,2011,06,7.29,988,72
Alabama,2011,07,7.85,1045,82
Alabama,2011,08,7.94,1007,80
Alabama,2011,09,8.59,1025,88
Alabama,2011,10,6.52,997,65
Alabama,2011,11,8.41,951,80
Alabama,2011,12,7.05,964,68
Alabama,2011,13,6.72,878,59
Alabama,2011,14,6.55,932,61
Alabama,2011,15,5.56,864,48
Alabama,2011,16,6.14,912,56
Alabama,2011,17,6.04,1176,71
Alabama,2011,18,6.84,921,63
Alabama,2011,19,5.72,927,53
Alabama,2011,20,5.59,913,51
Alabama,2011,21,6.55,885,58
Alabama,2011,22,8.11,888,72
Alabama,2011,23,6.16,893,55
Alabama,2011,24,6.54,933,61
Alabama,2011,25,6.37,879,56
Alabama,2011,26,5.79,898,52
Alabama,2011,27,5.1,882,45
Alabama,2011,28,5.43,903,49
Alabama,2011,29,7.17,892,64
Alabama,2011,30,5.88,834,49
Alabama,2011,31,6.41,905,58
Alabama,2011,32,6.22,868,54
Alabama,2011,33,6.46,851,55
Alabama,2011,34,6.34,867,55
Alabama,2011,35,4.96,846,42
Alabama,2011,36,5.98,870,52
Alabama,2011,37,5.78,882,51
Alabama,2011,38,5.29,831,44
Alabama,2011,39,7.02,855,60
Alabama,2011,40,5.37,1005,54
Alabama,2011,41,6.1,902,55
Alabama,2011,42,6.26,878,55
Alabama,2011,43,5.87,886,52
Alabama,2011,44,6.43,886,57
Alabama,2011,45,5.8,983,57
Alabama,2011,46,6.86,933,64
Alabama,2011,47,6.31,904,57
Alabama,2011,48,6.59,971,64
Alabama,2011,49,6.74,920,62
Alabama,2011,50,7.87,1017,80
Alabama,2011,51,8.67,957,83
Alabama,2011,52,7.21,943,68
Alabama,2012,01,7.75,1006,78
Alabama,2012,02,8.76,913,80
Alabama,2012,03,5.97,988,59
Alabama,2012,04,7.93,933,74
Alabama,2012,05,8.28,930,77
Alabama,2012,06,6.72,908,61
Alabama,2012,07,6.41,983,63
Alabama,2012,08,6.48,1064,69
Alabama,2012,09,7.45,1020,76
Alabama,2012,10,7.34,927,68
Alabama,2012,11,8.31,951,79
Alabama,2012,12,8.93,918,82
Alabama,2012,13,6.46,960,62
Alabama,2012,14,8.36,933,78
Alabama,2012,15,7.69,923,71
Alabama,2012,16,6.74,965,65
Alabama,2012,17,5.66,971,55
Alabama,2012,18,7.79,924,72
Alabama,2012,19,6.63,905,60
Alabama,2012,20,6.55,885,58
Alabama,2012,21,7.38,881,65
Alabama,2012,22,7.41,891,66
Alabama,2012,23,7.27,935,68
Alabama,2012,24,6.28,924,58
Alabama,2012,25,7.33,887,65
Alabama,2012,26,8.4,917,77
Alabama,2012,27,5.82,945,55
Alabama,2012,28,6.38,815,52
Alabama,2012,29,7.17,920,66
Alabama,2012,30,5.89,934,55
Alabama,2012,31,5.44,864,47
Alabama,2012,32,7.05,951,67
Alabama,2012,33,6.33,948,60
Alabama,2012,34,5.38,892,48
Alabama,2012,35,5.97,837,50
Alabama,2012,36,5.09,923,47
Alabama,2012,37,3.67,900,33
Alabama,2012,38,6.61,892,59
Alabama,2012,39,5.83,977,57
Alabama,2012,40,4.05,864,35
Alabama,2012,41,5.11,900,46
Alabama,2012,42,6,1016,61
Alabama,2012,43,5.8,896,52
Alabama,2012,44,5.81,947,55
Alabama,2012,45,6.15,1024,63
Alabama,2012,46,5.42,959,52
Alabama,2012,47,6.26,911,57
Alabama,2012,48,5.68,1021,58
Alabama,2012,49,7.16,1034,74
Alabama,2012,50,6.86,1021,70
Alabama,2012,51,7.54,1088,82
Alabama,2012,52,8.06,1055,85
Alabama,2013,01,9.59,1199,115
Alabama,2013,02,9.33,1200,112
Alabama,2013,03,9.95,1105,110
Alabama,2013,04,9.9,1061,105
Alabama,2013,05,8.28,1026,85
Alabama,2013,06,8.51,1057,90
Alabama,2013,07,7.94,970,77
Alabama,2013,08,7.08,1074,76
Alabama,2013,09,7.14,1037,74
Alabama,2013,10,7.16,1048,75
Alabama,2013,11,7.14,995,71
Alabama,2013,12,5.75,1078,62
Alabama,2013,13,6.35,1008,64
Alabama,2013,14,6.98,1003,70
Alabama,2013,15,9.28,1013,94
Alabama,2013,16,6.62,891,59
Alabama,2013,17,8.11,962,78
Alabama,2013,18,5.65,974,55
Alabama,2013,19,6.62,922,61
Alabama,2013,20,5.68,969,55
Alabama,2013,21,4.63,886,41
Alabama,2013,22,5.91,897,53
Alabama,2013,23,5.86,955,56
Alabama,2013,24,4.94,871,43
Alabama,2013,25,4.66,879,41
Alabama,2013,26,5.45,863,47
Alabama,2013,27,4.75,906,43
Alabama,2013,28,5.58,860,48
Alabama,2013,29,7.94,869,69
Alabama,2013,30,3.97,857,34
Alabama,2013,31,5.39,927,50
Alabama,2013,32,5.81,826,48
Alabama,2013,33,6.26,863,54
Alabama,2013,34,4.48,916,41
Alabama,2013,35,6.22,916,57
Alabama,2013,36,5.02,856,43
Alabama,2013,37,6.12,849,52
Alabama,2013,38,5.65,885,50
Alabama,2013,39,7.21,929,67
Alabama,2013,40,5.53,868,48
Alabama,2013,41,6.03,945,57
Alabama,2013,42,4.64,926,43
Alabama,2013,43,5.19,963,50
Alabama,2013,44,6.55,962,63
Alabama,2013,45,6.23,979,61
Alabama,2013,46,6.03,962,58
Alabama,2013,47,5.78,951,55
Alabama,2013,48,6.56,1006,66
Alabama,2013,49,7.29,1015,74
Alabama,2013,50,8.02,985,79
Alabama,2013,51,7.79,1078,84
Alabama,2013,52,8.66,1028,89
Alabama,2014,01,8.5,1070,91
Alabama,2014,02,9.53,1102,105
Alabama,2014,03,9.15,1071,98
Alabama,2014,04,10.65,1042,111
Alabama,2014,05,7.76,1057,82
Alabama,2014,06,9.26,1026,95
Alabama,2014,07,8.56,958,82
Alabama,2014,08,6.31,998,63
Alabama,2014,09,7.41,972,72
Alabama,2014,10,6.31,999,63
Alabama,2014,11,5.85,991,58
Alabama,2014,12,6.32,965,61
Alabama,2014,13,6.67,930,62
Alabama,2014,14,5.58,968,54
Alabama,2014,15,6.59,941,62
Alabama,2014,16,5.88,1003,59
Alabama,2014,17,6.29,938,59
Alabama,2014,18,6.32,949,60
Alabama,2014,19,5.88,935,55
Alabama,2014,20,5.05,951,48
Alabama,2014,21,4.99,921,46
Alabama,2014,22,5.05,950,48
Alabama,2014,23,6.3,968,61
Alabama,2014,24,4.88,902,44
Alabama,2014,25,5.45,862,47
Alabama,2014,26,6.93,866,60
Alabama,2014,27,4.89,879,43
Alabama,2014,28,5.17,889,46
Alabama,2014,29,5.56,917,51
Alabama,2014,30,4.13,896,37
Alabama,2014,31,5.74,889,51
Alabama,2014,32,6.06,957,58
Alabama,2014,33,6.04,910,55
Alabama,2014,34,5.66,901,51
Alabama,2014,35,5.21,864,45
Alabama,2014,36,4.36,917,40
Alabama,2014,37,4.98,904,45
Alabama,2014,38,5.61,927,52
Alabama,2014,39,6.3,952,60
Alabama,2014,40,4.94,890,44
Alabama,2014,41,5.72,944,54
Alabama,2014,42,5.28,947,50
Alabama,2014,43,6.44,931,60
Alabama,2014,44,4.07,983,40
Alabama,2014,45,5.58,932,52
Alabama,2014,46,3.9,1001,39
Alabama,2014,47,6.17,988,61
Alabama,2014,48,5.83,995,58
Alabama,2014,49,6.52,1027,67
Alabama,2014,50,8.17,1053,86
Alabama,2014,51,6.55,1130,74
Alabama,2014,52,7.69,1079,83
Alabama,2014,53,10.66,1126,120
Alabama,2015,01,10.61,1169,124
Alabama,2015,02,9.56,1172,112
Alabama,2015,03,8.4,1072,90
Alabama,2015,04,6.62,1087,72
Alabama,2015,05,8.5,1130,96
Alabama,2015,06,7.89,1102,87
Alabama,2015,07,8.17,1090,89
Alabama,2015,08,8.08,1126,91
Alabama,2015,09,7.27,1225,89
Alabama,2015,10,10.04,1136,114
Alabama,2015,11,7.16,1048,75
Alabama,2015,12,5.49,984,54
Alabama,2015,13,6.69,971,65
Alabama,2015,14,6.46,1006,65
Alabama,2015,15,7.01,927,65
Alabama,2015,16,5.51,1017,56
Alabama,2015,17,5.45,990,54
Alabama,2015,18,5.35,935,50
Alabama,2015,19,4.91,937,46
Alabama,2015,20,5.92,946,56
Alabama,2015,21,6.34,930,59
Alabama,2015,22,6.78,915,62
Alabama,2015,23,5.51,926,51
Alabama,2015,24,3.65,932,34
Alabama,2015,25,5.67,935,53
Alabama,2015,26,4.14,941,39
Alabama,2015,27,5.73,942,54
Alabama,2015,28,6.31,935,59
Alabama,2015,29,4.36,940,41
Alabama,2015,30,4.17,911,38
Alabama,2015,31,5.09,923,47
Alabama,2015,32,5.39,983,53
Alabama,2015,33,5.45,880,48
Alabama,2015,34,5.54,938,52
Alabama,2015,35,6.39,955,61
Alabama,2015,36,5.5,982,54
Alabama,2015,37,5.81,929,54
Alabama,2015,38,5.79,967,56
Alabama,2015,39,5.34,917,49
Alabama,2015,40,4.7,979,46
Alabama,2015,41,3.82,889,34
Alabama,2015,42,5.32,978,52
Alabama,2015,43,7.02,968,68
Alabama,2015,44,5.3,906,48
Alabama,2015,45,5.79,968,56
Alabama,2015,46,5.09,1041,53
Alabama,2015,47,6.21,1031,64
Alabama,2015,48,5.64,976,55
Alabama,2015,49,5.36,1045,56
Alabama,2015,50,5.47,1005,55
Alabama,2015,51,7.51,1078,81
Alabama,2015,52,5.91,999,59
Alabama,2016,01,7.12,1025,73
Alabama,2016,02,7.28,1058,77
Alabama,2016,03,6.56,1052,69
Alabama,2016,04,6.35,1039,66
Alabama,2016,05,5.89,1120,66
Alabama,2016,06,6.03,1095,66
Alabama,2016,07,6.63,1131,75
Alabama,2016,08,6.93,981,68
Alabama,2016,09,7.16,1020,73
Alabama,2016,10,6.13,1061,65
Alabama,2016,11,7.2,1028,74
Alabama,2016,12,6.52,1012,66
Alabama,2016,13,6.97,976,68
Alabama,2016,14,5.47,1006,55
Alabama,2016,15,7.1,943,67
Alabama,2016,16,5.26,1007,53
Alabama,2016,17,4.4,978,43
Alabama,2016,18,5.63,977,55
Alabama,2016,19,4.79,960,46
Alabama,2016,20,6.67,944,63
Alabama,2016,21,5.84,942,55
Alabama,2016,22,4.87,966,47
Alabama,2016,23,4.73,973,46
Alabama,2016,24,4.84,868,42
Alabama,2016,25,4.9,959,47
Alabama,2016,26,4.53,905,41
Alabama,2016,27,4.31,882,38
Alabama,2016,28,4.69,917,43
Alabama,2016,29,4.49,847,38
Alabama,2016,30,6.09,805,49
Alabama,2016,31,4.5,777,35
Alabama,2016,32,4.66,773,36
Alabama,2016,33,3.68,787,29
Alabama,2016,34,3.71,755,28
Alabama,2016,35,5.28,739,39
Alabama,2016,36,4.82,685,33
Alabama,2016,37,6.89,639,44
Alaska,2010,40,9.68,62,6
Alaska,2010,41,8.64,81,7
Alaska,2010,42,5,60,3
Alaska,2010,43,5.8,69,4
Alaska,2010,44,6.82,88,6
Alaska,2010,45,2.38,84,2
Alaska,2010,46,8.82,68,6
Alaska,2010,47,8.22,73,6
Alaska,2010,48,6.78,59,4
Alaska,2010,49,6.41,78,5
Alaska,2010,50,4.49,89,4
Alaska,2010,51,7.14,70,5
Alaska,2010,52,9.33,75,7
Alaska,2011,01,0,58,0
Alaska,2011,02,3.64,55,2
Alaska,2011,03,8.7,92,8
Alaska,2011,04,2.6,77,2
Alaska,2011,05,8.7,69,6
Alaska,2011,06,6.25,64,4
Alaska,2011,07,8.96,67,6
Alaska,2011,08,10.96,73,8
Alaska,2011,09,10.98,82,9
Alaska,2011,10,4.82,83,4
Alaska,2011,11,12.5,88,11
Alaska,2011,12,7.29,96,7
Alaska,2011,13,15.07,73,11
Alaska,2011,14,2.74,73,2
Alaska,2011,15,5.19,77,4
Alaska,2011,16,6.85,73,5
Alaska,2011,17,5.56,54,3
Alaska,2011,18,3.85,78,3
Alaska,2011,19,11.67,60,7
Alaska,2011,20,4.84,62,3
Alaska,2011,21,4.71,85,4
Alaska,2011,22,5.63,71,4
Alaska,2011,23,7.69,78,6
Alaska,2011,24,6.76,74,5
Alaska,2011,25,9.41,85,8
Alaska,2011,26,3.8,79,3
Alaska,2011,27,5,80,4
Alaska,2011,28,8.45,71,6
Alaska,2011,29,5.19,77,4
Alaska,2011,30,4.49,89,4
Alaska,2011,31,10.81,74,8
Alaska,2011,32,6.58,76,5
Alaska,2011,33,4,75,3
Alaska,2011,34,12.12,66,8
Alaska,2011,35,4.05,74,3
Alaska,2011,36,4.23,71,3
Alaska,2011,37,16.9,71,12
Alaska,2011,38,5.88,68,4
Alaska,2011,39,1.39,72,1
Alaska,2011,40,7.35,68,5
Alaska,2011,41,7.32,82,6
Alaska,2011,42,6.15,65,4
Alaska,2011,43,8,50,4
Alaska,2011,44,3.66,82,3
Alaska,2011,45,2.86,70,2
Alaska,2011,46,9.84,61,6
Alaska,2011,47,2.9,69,2
Alaska,2011,48,7.78,90,7
Alaska,2011,49,8,75,6
Alaska,2011,50,5.13,78,4
Alaska,2011,51,9.09,88,8
Alaska,2011,52,4.17,72,3
Alaska,2012,01,6.41,78,5
Alaska,2012,02,2.9,69,2
Alaska,2012,03,7.81,64,5
Alaska,2012,04,8.75,80,7
Alaska,2012,05,6.76,74,5
Alaska,2012,06,12.33,73,9
Alaska,2012,07,5.08,59,3
Alaska,2012,08,7.06,85,6
Alaska,2012,09,8.33,72,6
Alaska,2012,10,3.45,87,3
Alaska,2012,11,3.92,102,4
Alaska,2012,12,6.56,61,4
Alaska,2012,13,4.05,74,3
Alaska,2012,14,7.5,80,6
Alaska,2012,15,4.11,73,3
Alaska,2012,16,3.33,90,3
Alaska,2012,17,8.22,73,6
Alaska,2012,18,4.29,70,3
Alaska,2012,19,11.69,77,9
Alaska,2012,20,1.75,57,1
Alaska,2012,21,3.13,64,2
Alaska,2012,22,2.9,69,2
Alaska,2012,23,1.43,70,1
Alaska,2012,24,1.43,70,1
Alaska,2012,25,2.47,81,2
Alaska,2012,26,7.35,68,5
Alaska,2012,27,4.29,70,3
Alaska,2012,28,7.94,63,5
Alaska,2012,29,4.92,61,3
Alaska,2012,30,2.44,82,2
Alaska,2012,31,4.17,72,3
Alaska,2012,32,8.47,59,5
Alaska,2012,33,4.11,73,3
Alaska,2012,34,4.35,69,3
Alaska,2012,35,8.33,60,5
Alaska,2012,36,7.23,83,6
Alaska,2012,37,5.48,73,4
Alaska,2012,38,2.63,76,2
Alaska,2012,39,2.78,72,2
Alaska,2012,40,5.41,74,4
Alaska,2012,41,6.94,72,5
Alaska,2012,42,9.41,85,8
Alaska,2012,43,7.06,85,6
Alaska,2012,44,5.41,74,4
Alaska,2012,45,7.89,76,6
Alaska,2012,46,6.52,92,6
Alaska,2012,47,5,80,4
Alaska,2012,48,2.25,89,2
Alaska,2012,49,6,100,6
Alaska,2012,50,6.85,73,5
Alaska,2012,51,11.69,77,9
Alaska,2012,52,6.33,79,5
Alaska,2013,01,5.95,84,5
Alaska,2013,02,13.92,79,11
Alaska,2013,03,5.88,85,5
Alaska,2013,04,3.85,78,3
Alaska,2013,05,7.5,80,6
Alaska,2013,06,7.25,69,5
Alaska,2013,07,8.86,79,7
Alaska,2013,08,5.81,86,5
Alaska,2013,09,4.49,89,4
Alaska,2013,10,7.32,82,6
Alaska,2013,11,8.97,78,7
Alaska,2013,12,2.06,97,2
Alaska,2013,13,4.11,73,3
Alaska,2013,14,1.33,75,1
Alaska,2013,15,1.27,79,1
Alaska,2013,16,2.86,70,2
Alaska,2013,17,5,60,3
Alaska,2013,18,6.78,59,4
Alaska,2013,19,5.56,72,4
Alaska,2013,20,1.37,73,1
Alaska,2013,21,7.89,76,6
Alaska,2013,22,5.63,71,4
Alaska,2013,23,8,75,6
Alaska,2013,24,6.67,75,5
Alaska,2013,25,5.8,69,4
Alaska,2013,26,4.71,85,4
Alaska,2013,27,9.38,64,6
Alaska,2013,28,4.76,63,3
Alaska,2013,29,3.23,93,3
Alaska,2013,30,4.82,83,4
Alaska,2013,31,12.9,62,8
Alaska,2013,32,4.76,84,4
Alaska,2013,33,0,72,0
Alaska,2013,34,8.86,79,7
Alaska,2013,35,5.26,76,4
Alaska,2013,36,8.45,71,6
Alaska,2013,37,14.81,81,12
Alaska,2013,38,9.72,72,7
Alaska,2013,39,3.33,90,3
Alaska,2013,40,2.86,70,2
Alaska,2013,41,4.71,85,4
Alaska,2013,42,5.26,76,4
Alaska,2013,43,8.14,86,7
Alaska,2013,44,8.33,72,6
Alaska,2013,45,10.1,99,10
Alaska,2013,46,6.25,80,5
Alaska,2013,47,2.9,69,2
Alaska,2013,48,6.25,64,4
Alaska,2013,49,6.06,66,4
Alaska,2013,50,2.56,78,2
Alaska,2013,51,8.33,72,6
Alaska,2013,52,13.75,80,11
Alaska,2014,01,4.35,92,4
Alaska,2014,02,8.89,90,8
Alaska,2014,03,8.24,85,7
Alaska,2014,04,7.14,84,6
Alaska,2014,05,3.33,60,2
Alaska,2014,06,8.33,72,6
Alaska,2014,07,1.32,76,1
Alaska,2014,08,9.3,86,8
Alaska,2014,09,4.84,62,3
Alaska,2014,10,7.35,68,5
Alaska,2014,11,1.35,74,1
Alaska,2014,12,6.94,72,5
Alaska,2014,13,8.14,86,7
Alaska,2014,14,5.33,75,4
Alaska,2014,15,5.56,72,4
Alaska,2014,16,4.55,66,3
Alaska,2014,17,7.35,68,5
Alaska,2014,18,8.33,72,6
Alaska,2014,19,1.2,83,1
Alaska,2014,20,8.22,73,6
Alaska,2014,21,10,80,8
Alaska,2014,22,6.67,75,5
Alaska,2014,23,7.69,65,5
Alaska,2014,24,9.46,74,7
Alaska,2014,25,7.14,70,5
Alaska,2014,26,8.25,97,8
Alaska,2014,27,8.86,79,7
Alaska,2014,28,0,76,0
Alaska,2014,29,2.47,81,2
Alaska,2014,30,4.71,85,4
Alaska,2014,31,8.64,81,7
Alaska,2014,32,6.94,72,5
Alaska,2014,33,2.82,71,2
Alaska,2014,34,2.33,86,2
Alaska,2014,35,3.85,78,3
Alaska,2014,36,4.29,70,3
Alaska,2014,37,5.49,91,5
Alaska,2014,38,4.23,71,3
Alaska,2014,39,8.7,69,6
Alaska,2014,40,3.85,78,3
Alaska,2014,41,6.59,91,6
Alaska,2014,42,6.58,76,5
Alaska,2014,43,11.36,88,10
Alaska,2014,44,10,90,9
Alaska,2014,45,4.71,85,4
Alaska,2014,46,5.38,93,5
Alaska,2014,47,11.11,81,9
Alaska,2014,48,9.78,92,9
Alaska,2014,49,6.59,91,6
Alaska,2014,50,7.41,81,6
Alaska,2014,51,6.67,90,6
Alaska,2014,52,6.67,90,6
Alaska,2014,53,2.27,88,2
Alaska,2015,01,8.33,84,7
Alaska,2015,02,6.25,80,5
Alaska,2015,03,2.27,88,2
Alaska,2015,04,2.33,86,2
Alaska,2015,05,6.59,91,6
Alaska,2015,06,8.33,84,7
Alaska,2015,07,3.85,78,3
Alaska,2015,08,8.79,91,8
Alaska,2015,09,3.9,77,3
Alaska,2015,10,4.76,84,4
Alaska,2015,11,5.33,75,4
Alaska,2015,12,7.06,85,6
Alaska,2015,13,5.75,87,5
Alaska,2015,14,0,75,0
Alaska,2015,15,6.25,80,5
Alaska,2015,16,8.33,72,6
Alaska,2015,17,7.23,83,6
Alaska,2015,18,13.89,72,10
Alaska,2015,19,5.74,122,7
Alaska,2015,20,3.61,83,3
Alaska,2015,21,6.17,81,5
Alaska,2015,22,4.88,82,4
Alaska,2015,23,3.85,78,3
Alaska,2015,24,5.26,76,4
Alaska,2015,25,1.19,84,1
Alaska,2015,26,2.6,77,2
Alaska,2015,27,6.02,83,5
Alaska,2015,28,2.35,85,2
Alaska,2015,29,1.08,93,1
Alaska,2015,30,2.82,71,2
Alaska,2015,31,2.82,71,2
Alaska,2015,32,6.45,62,4
Alaska,2015,33,6.33,79,5
Alaska,2015,34,7,100,7
Alaska,2015,35,7.32,82,6
Alaska,2015,36,5.77,104,6
Alaska,2015,37,8,75,6
Alaska,2015,38,4,75,3
Alaska,2015,39,7.41,81,6
Alaska,2015,40,5.26,95,5
Alaska,2015,41,5.21,96,5
Alaska,2015,42,7.5,80,6
Alaska,2015,43,4.17,72,3
Alaska,2015,44,2.47,81,2
Alaska,2015,45,4.05,74,3
Alaska,2015,46,4.6,87,4
Alaska,2015,47,10,90,9
Alaska,2015,48,7.41,81,6
Alaska,2015,49,5.13,78,4
Alaska,2015,50,3.95,76,3
Alaska,2015,51,4.76,84,4
Alaska,2015,52,7,100,7
Alaska,2016,01,1.16,86,1
Alaska,2016,02,4.82,83,4
Alaska,2016,03,4.71,85,4
Alaska,2016,04,7.77,103,8
Alaska,2016,05,3.57,84,3
Alaska,2016,06,6.38,94,6
Alaska,2016,07,2.56,78,2
Alaska,2016,08,11.29,62,7
Alaska,2016,09,9.2,87,8
Alaska,2016,10,4.49,89,4
Alaska,2016,11,5.56,90,5
Alaska,2016,12,4.6,87,4
Alaska,2016,13,9.52,84,8
Alaska,2016,14,4.71,85,4
Alaska,2016,15,5.62,89,5
Alaska,2016,16,2.25,89,2
Alaska,2016,17,9.2,87,8
Alaska,2016,18,5.26,76,4
Alaska,2016,19,7.06,85,6
Alaska,2016,20,9.62,104,10
Alaska,2016,21,3.08,65,2
Alaska,2016,22,4.85,103,5
Alaska,2016,23,1.22,82,1
Alaska,2016,24,2.63,76,2
Alaska,2016,25,7.04,71,5
Alaska,2016,26,0,74,0
Alaska,2016,27,2.7,74,2
Alaska,2016,28,3.66,82,3
Alaska,2016,29,3.28,61,2
Alaska,2016,30,1.61,62,1
Alaska,2016,31,1.79,56,1
Alaska,2016,32,4.55,44,2
Alaska,2016,33,1.85,54,1
Alaska,2016,34,4.35,46,2
Alaska,2016,35,4.65,43,2
Alaska,2016,36,3.64,55,2
Alaska,2016,37,0,42,0
Arizona,2010,40,5.93,827,49
Arizona,2010,41,4.99,842,42
Arizona,2010,42,5.04,873,44
Arizona,2010,43,5.67,864,49
Arizona,2010,44,7.17,879,63
Arizona,2010,45,5.86,921,54
Arizona,2010,46,7.26,909,66
Arizona,2010,47,6.59,910,60
Arizona,2010,48,7.41,985,73
Arizona,2010,49,6.49,970,63
Arizona,2010,50,8.71,941,82
Arizona,2010,51,7.87,991,78
Arizona,2010,52,9.45,931,88
Arizona,2011,01,8.81,987,87
Arizona,2011,02,6.5,1000,65
Arizona,2011,03,8.7,1012,88
Arizona,2011,04,9.38,992,93
Arizona,2011,05,7.84,1008,79
Arizona,2011,06,7.62,984,75
Arizona,2011,07,8.24,1056,87
Arizona,2011,08,8.49,1060,90
Arizona,2011,09,8.3,1048,87
Arizona,2011,10,9.35,1027,96
Arizona,2011,11,7.98,978,78
Arizona,2011,12,8.27,991,82
Arizona,2011,13,7.52,971,73
Arizona,2011,14,8.84,973,86
Arizona,2011,15,7.93,920,73
Arizona,2011,16,6.76,917,62
Arizona,2011,17,6.64,919,61
Arizona,2011,18,7.06,921,65
Arizona,2011,19,7.24,870,63
Arizona,2011,20,5.86,905,53
Arizona,2011,21,6.22,900,56
Arizona,2011,22,6.86,875,60
Arizona,2011,23,6.86,933,64
Arizona,2011,24,5.53,941,52
Arizona,2011,25,4.99,862,43
Arizona,2011,26,6.07,890,54
Arizona,2011,27,4.84,888,43
Arizona,2011,28,4.97,886,44
Arizona,2011,29,4.07,885,36
Arizona,2011,30,5.01,839,42
Arizona,2011,31,6.04,927,56
Arizona,2011,32,5.06,850,43
Arizona,2011,33,5.55,901,50
Arizona,2011,34,5.29,926,49
Arizona,2011,35,6.91,854,59
Arizona,2011,36,6.9,869,60
Arizona,2011,37,6.12,834,51
Arizona,2011,38,7.35,912,67
Arizona,2011,39,6,883,53
Arizona,2011,40,5.89,883,52
Arizona,2011,41,5.99,901,54
Arizona,2011,42,5.73,908,52
Arizona,2011,43,5.85,889,52
Arizona,2011,44,4.29,933,40
Arizona,2011,45,6.16,877,54
Arizona,2011,46,6.37,895,57
Arizona,2011,47,6.57,883,58
Arizona,2011,48,6.85,905,62
Arizona,2011,49,5.67,953,54
Arizona,2011,50,7.34,981,72
Arizona,2011,51,6.89,885,61
Arizona,2011,52,6.29,938,59
Arizona,2012,01,6.67,1004,67
Arizona,2012,02,5.82,945,55
Arizona,2012,03,6.41,921,59
Arizona,2012,04,6.96,1020,71
Arizona,2012,05,6.04,961,58
Arizona,2012,06,5.69,1072,61
Arizona,2012,07,8.17,1028,84
Arizona,2012,08,6.69,1002,67
Arizona,2012,09,8.06,968,78
Arizona,2012,10,8.72,998,87
Arizona,2012,11,8.15,1080,88
Arizona,2012,12,8.09,1014,82
Arizona,2012,13,7.55,1007,76
Arizona,2012,14,7.56,1032,78
Arizona,2012,15,8.57,980,84
Arizona,2012,16,6.9,957,66
Arizona,2012,17,5.68,1021,58
Arizona,2012,18,5.98,936,56
Arizona,2012,19,6.35,897,57
Arizona,2012,20,6.56,930,61
Arizona,2012,21,6.16,942,58
Arizona,2012,22,5.87,903,53
Arizona,2012,23,6.57,929,61
Arizona,2012,24,5.77,936,54
Arizona,2012,25,5.83,909,53
Arizona,2012,26,6.36,912,58
Arizona,2012,27,6.26,878,55
Arizona,2012,28,5.39,946,51
Arizona,2012,29,6.2,887,55
Arizona,2012,30,6.61,862,57
Arizona,2012,31,4.55,858,39
Arizona,2012,32,4.4,931,41
Arizona,2012,33,5.12,898,46
Arizona,2012,34,4.35,873,38
Arizona,2012,35,5.02,917,46
Arizona,2012,36,4.66,965,45
Arizona,2012,37,5.31,885,47
Arizona,2012,38,5.45,862,47
Arizona,2012,39,7.47,964,72
Arizona,2012,40,5.99,918,55
Arizona,2012,41,5.51,943,52
Arizona,2012,42,6.18,906,56
Arizona,2012,43,6.17,907,56
Arizona,2012,44,5.97,888,53
Arizona,2012,45,5.27,910,48
Arizona,2012,46,5.55,883,49
Arizona,2012,47,4.04,1016,41
Arizona,2012,48,8.67,923,80
Arizona,2012,49,4.7,937,44
Arizona,2012,50,5.71,999,57
Arizona,2012,51,7.68,989,76
Arizona,2012,52,8.35,994,83
Arizona,2013,01,7.94,1109,88
Arizona,2013,02,9.8,1153,113
Arizona,2013,03,10.42,1200,125
Arizona,2013,04,9.22,1160,107
Arizona,2013,05,9.33,1179,110
Arizona,2013,06,9.14,1138,104
Arizona,2013,07,7.04,1122,79
Arizona,2013,08,7.45,1074,80
Arizona,2013,09,9.28,1045,97
Arizona,2013,10,10.52,1074,113
Arizona,2013,11,8.07,1028,83
Arizona,2013,12,7.83,1022,80
Arizona,2013,13,5.63,1012,57
Arizona,2013,14,7.16,1006,72
Arizona,2013,15,5.83,1012,59
Arizona,2013,16,6.67,1020,68
Arizona,2013,17,6.63,980,65
Arizona,2013,18,5.61,927,52
Arizona,2013,19,4.75,947,45
Arizona,2013,20,6.49,956,62
Arizona,2013,21,5.76,920,53
Arizona,2013,22,6.28,923,58
Arizona,2013,23,5.57,898,50
Arizona,2013,24,5.32,959,51
Arizona,2013,25,6.79,869,59
Arizona,2013,26,5.15,894,46
Arizona,2013,27,3.82,968,37
Arizona,2013,28,5.25,895,47
Arizona,2013,29,4.66,858,40
Arizona,2013,30,5.88,902,53
Arizona,2013,31,4.99,842,42
